Longitude, Latitude, Altitude, Azimuth
19.0564988, 47.4788967, 147.7299000, 323.9300000
19.0564964, 47.4788988, 147.7286000, 323.8400000
19.0564939, 47.4789010, 147.7264000, 323.8300000
19.0564914, 47.4789032, 147.7234000, 323.7800000
19.0564890, 47.4789053, 147.7190000, 323.7800000
19.0564865, 47.4789075, 147.7145000, 323.7600000
19.0564840, 47.4789098, 147.7099000, 323.7600000
19.0564815, 47.4789120, 147.7073000, 323.7400000
19.0564790, 47.4789141, 147.7038000, 323.7600000
19.0564765, 47.4789163, 147.7019000, 323.7300000
19.0564741, 47.4789185, 147.7019000, 323.7500000
19.0564716, 47.4789206, 147.7002000, 323.7000000
19.0564690, 47.4789228, 147.6967000, 323.7200000
19.0564665, 47.4789251, 147.6914000, 323.7000000
19.0564639, 47.4789273, 147.6876000, 323.6800000
19.0564615, 47.4789294, 147.6869000, 323.6900000
19.0564590, 47.4789316, 147.6872000, 323.6800000
19.0564566, 47.4789337, 147.6857000, 323.6900000
19.0564541, 47.4789358, 147.6838000, 323.6800000
19.0564517, 47.4789380, 147.6850000, 323.6800000
19.0564491, 47.4789402, 147.6886000, 323.6800000
19.0564465, 47.4789425, 147.6881000, 323.6700000
19.0564439, 47.4789447, 147.6869000, 323.6800000
19.0564413, 47.4789470, 147.6892000, 323.6800000
19.0564388, 47.4789492, 147.6910000, 323.6900000
19.0564362, 47.4789515, 147.6940000, 323.6900000
19.0564337, 47.4789537, 147.6963000, 323.7100000
19.0564311, 47.4789559, 147.6969000, 323.7200000
19.0564286, 47.4789581, 147.6991000, 323.7100000
19.0564261, 47.4789604, 147.7034000, 323.7400000
19.0564236, 47.4789626, 147.7040000, 323.7400000
19.0564211, 47.4789647, 147.7056000, 323.7700000
19.0564186, 47.4789669, 147.7088000, 323.7600000
19.0564162, 47.4789691, 147.7091000, 323.7700000
19.0564137, 47.4789713, 147.7103000, 323.7700000
19.0564112, 47.4789735, 147.7117000, 323.8000000
19.0564087, 47.4789757, 147.7121000, 323.8100000
19.0564063, 47.4789779, 147.7142000, 323.8200000
19.0564038, 47.4789801, 147.7159000, 323.8600000
19.0564013, 47.4789823, 147.7169000, 323.8600000
19.0563989, 47.4789844, 147.7197000, 323.8700000
19.0563965, 47.4789866, 147.7224000, 323.9000000
19.0563940, 47.4789888, 147.7222000, 323.9100000
19.0563916, 47.4789910, 147.7224000, 323.9200000
19.0563891, 47.4789932, 147.7271000, 323.9400000
19.0563867, 47.4789953, 147.7298000, 323.9600000
19.0563843, 47.4789975, 147.7279000, 323.9700000
19.0563818, 47.4789997, 147.7291000, 323.9900000
19.0563794, 47.4790019, 147.7272000, 324.0200000
19.0563769, 47.4790041, 147.7262000, 324.0200000
19.0563744, 47.4790063, 147.7273000, 324.0400000
19.0563719, 47.4790085, 147.7285000, 324.0600000
19.0563694, 47.4790107, 147.7288000, 324.0900000
19.0563669, 47.4790130, 147.7305000, 324.0800000
19.0563644, 47.4790152, 147.7347000, 324.1400000
19.0563618, 47.4790175, 147.7309000, 324.1200000
19.0563594, 47.4790197, 147.7280000, 324.1200000
19.0563569, 47.4790218, 147.7263000, 324.1300000
19.0563544, 47.4790241, 147.7245000, 324.1000000
19.0563519, 47.4790263, 147.7255000, 324.1100000
19.0563495, 47.4790285, 147.7262000, 324.0700000
19.0563469, 47.4790307, 147.7228000, 324.0700000
19.0563444, 47.4790330, 147.7167000, 324.0400000
19.0563419, 47.4790351, 147.7148000, 324.0500000
19.0563395, 47.4790373, 147.7124000, 323.9600000
19.0563370, 47.4790395, 147.7082000, 323.9700000
19.0563345, 47.4790417, 147.7051000, 323.9500000
19.0563319, 47.4790439, 147.7052000, 323.9400000
19.0563294, 47.4790461, 147.7063000, 323.9200000
19.0563269, 47.4790483, 147.7057000, 323.9100000
19.0563243, 47.4790505, 147.7030000, 323.9200000
19.0563218, 47.4790527, 147.6987000, 323.8900000
19.0563192, 47.4790550, 147.6952000, 323.9000000
19.0563167, 47.4790572, 147.6939000, 323.8700000
19.0563141, 47.4790595, 147.6931000, 323.8700000
19.0563115, 47.4790617, 147.6901000, 323.8500000
19.0563089, 47.4790640, 147.6879000, 323.8700000
19.0563063, 47.4790662, 147.6877000, 323.8200000
19.0563037, 47.4790685, 147.6889000, 323.7900000
19.0563011, 47.4790707, 147.6905000, 323.7400000
19.0562985, 47.4790729, 147.6932000, 323.6400000
19.0562959, 47.4790752, 147.6912000, 323.5500000
19.0562933, 47.4790774, 147.6854000, 323.3900000
19.0562908, 47.4790795, 147.6819000, 323.2000000
19.0562882, 47.4790816, 147.6825000, 323.0200000
19.0562857, 47.4790837, 147.6828000, 322.7200000
19.0562831, 47.4790858, 147.6803000, 322.4100000
